iteration,obj_of_RMP
1,88008.12673640791
2,88008.10483816045
3,88008.10483816045
4,88008.10483816045
5,88008.10483816045
6,88008.10483816045
7,88008.10483816045
8,88008.10483816045
9,88008.10483816045
10,88008.09883825615
11,88008.09883825615
12,88008.09883825615
13,88008.09883825615
14,88008.09883825615
15,88008.09883825615
16,88008.09883825615
17,88008.09883825615
18,88008.09883825615
19,88008.09776808147
20,88008.09776808147
21,88008.09776808147
22,88008.09776808147
23,88008.09776808147
24,88008.09776808147
25,88008.09776808147
26,88008.09776808147
27,88008.0967035971
28,88008.0967035971
29,87988.84627664993
30,87979.37790242766
31,87976.52820636614
32,87948.21621435514
33,87934.55431135003
34,87933.56374309736
35,87932.3625400002
36,87932.3625400002
37,87922.24496603197
38,87909.7701903795
39,87905.08178360338
40,87902.25881439498
41,87901.11152570766
42,87899.70117636917
43,87898.12543984917
44,87894.92227890775
45,87891.75491857881
46,87891.23625559846
47,87890.97293678012
48,87890.70270679948
49,87890.70270679948
50,87886.815273942
51,87886.815273942
52,87886.815273942
53,87886.815273942
54,87886.815273942
55,87884.38187146373
56,87884.38187146373
57,87884.38187146373
58,87884.38187146373
59,87884.38187146373
60,87884.38187146373
61,87884.38187146373
