iteration,obj_of_RMP
1,21559.119491059642
2,21559.119491059642
3,21559.119491059642
4,21559.119491059642
5,21559.119491059642
6,21559.119491059642
7,21559.119491059642
8,21559.119491059642
9,21559.119491059642
10,21559.119491059642
11,21559.119491059642
12,21559.119491059642
13,21559.119491059642
14,21559.119491059642
15,21537.892787695193
16,21529.8893629254
17,21527.987648747032
18,21527.987648747032
19,21527.201784129207
20,21526.119326771386
21,21525.227503019778
22,21525.227503019778
23,21525.227503019778
24,21525.227503019778
25,21524.87329681807
26,21524.716974237246
27,21524.716974237246
28,21524.716974237246
29,21524.716974237246
30,21524.716974237246
31,21524.716974237246
32,21524.716974237246
33,21524.716974237246
